survey,kc_file,est_mobs_cuts,est_mobs_sigmas
Amanullah10,CalanTololo_I_selection,23.8,0.5
CalanTololo,CalanTololo_R_selection,18.5,1.0
CfA1,CalanTololo_R_selection,17.0,1.0
CfA1_STD,CalanTololo_R_selection,17.0,1.0
CfA2,CalanTololo_R_selection,16.5,1.0
CfA3,CalanTololo_R_selection,17.0,1.0
CfA34,CalanTololo_R_selection,17.25,1.0
CfA3_4S,CalanTololo_R_selection,17.0,1.0
CfA3_KC,CalanTololo_R_selection,17.0,1.0
CfA4,CalanTololo_R_selection,17.5,1.0
CfA4_1,CalanTololo_R_selection,17.5,1.0
CfA4_2,CalanTololo_R_selection,17.5,1.0
CNIa02,CalanTololo_R_selection,16.0,1.0
Cosmo_SALT,SDSS_r_selection,19.0,0.5
CSP,CalanTololo_R_selection,18.0,1.0
DC2,MEGACAMJLA_i_selection,23.0,0.5
DES3_Deep,MEGACAMJLA_i_selection,24.0,0.5
DES3_Shallow,MEGACAMJLA_i_selection,23.0,0.5
DES_sim_Deep,desi_selection_salt3-f22_AB,24.0,0.5
DES_sim_Shallow,desi_selection_salt3-f22_AB,23.0,0.5
ESSENCE,CalanTololo_R_selection,23.5,0.5
Foundation,CalanTololo_R_selection,17.5,1.0
Knop03,CalanTololo_R_selection,24.0,0.5
Krisciunas,CalanTololo_R_selection,16.0,1.0
LOSS,CalanTololo_R_selection,17.0,1.0
LSQ,CalanTololo_R_selection,19.0,1.0
LSQ+LCO,CalanTololo_R_selection,18.0,1.0
MCT,WFC3_f125w_selection,26.6,0.25
NB99,SDSS_r_selection,19.5,1.0
OtherNearby,SDSS_r_selection,18.0,1.0
Pan-STARRS,SDSS_r_selection,22.0,0.5
Primo,WFC3_f125w_selection,26.6,0.25
Riess07,ACSWF_F850LP_selection,25.7,0.5
riess_fixed_ab,ACSWF_F850LP_selection,25.7,0.5
SCP,ACSWF_F850LP_selection,25.7,0.5
SDSS,SDSS_r_selection,22.0,0.5
SDSS_cut,SDSS_r_selection,22.0,0.5
SDSS_high,SDSS_r_selection,22.0,0.5
SDSS_low,SDSS_r_selection,22.0,0.5
SDSS_sim,SDSS_r_selection,22.0,0.5
See-Change,WFC3_f125w_selection,26.6,0.25
sim_sne_list,sim_sne_selection,22.0,0.5
SNf_sim,SDSS_r_selection,19.0,1.0
SNLS,MEGACAMJLA_i_selection,23.8,0.5
SOUSA,SDSS_r_selection,18.0,1.0
SUSHI,HSC_z_selection,25.7,0.5
SuzukiRubin,ACSWF_F850LP_selection,25.7,0.5
Tonry03,CalanTololo_I_selection,23.8,0.5
UKIRT,SDSS_r_selection,19.5,1.0
ZTF,SDSS_r_selection,18.75,1.0
